Search Term: Cereal, , , , 
Brand,Cereal Name,Rating,Search Ranking,Num of Reviews
Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 26.6 oz",4.826,1,207
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 33 oz",4.709,2,117
Kellogg's,"Kellogg's Rice Krispies Cereal, 24 oz",4.867,9,60
Kellogg's,"Kellogg's Apple Jacks Cereal, 21.7 oz",4.654,13,52
Kellogg's Froot Loops,"Kellogg's Froot Loops Cereal, 26 oz",4.778,14,63
Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 12.25 oz",4.826,16,207
Kellogg's,"Kellogg's Cracklin Oat Bran Cereal, 17 Oz",4.737,18,19
Kellogg's,"Kellogg's Corn Flakes Cereal, 24 oz",4.674,21,46
Cheerios,"Multi Grain Cheerios Gluten Free Cereal, 18 oz",4.813,22,16
Kellogg's Special K,"Kellogg's Special K Chocolatey Delight Cereal, 16.5 oz",4.884,23,46
Post,"Post Selects Great Grains Raisins Dates & Pecans Cereal, 16 oz",4.936,24,47
Post,"Post Honey-Comb Cereal, 16 oz",5.0,29,12
Kellogg's,"Kellogg's Froot Loops Cereal, 21.7 oz",4.778,33,63
Kellogg's Special K,"Kellogg's Special K Oats & Honey Cereal, 13.1 oz",4.789,39,52
Cheerios,"Cheerios Gluten Free Cereal, 18 oz",4.839,46,186
Post,"Post Fruity Pebbles Cereal, 20.5 oz",4.318,47,22
Kellogg's Crunchy Nut,"Kellogg's Crunchy Nut Golden Honey Nut Flakes Cereal, 13.2 oz",4.844,48,32
Post,"Post Shredded Wheat Original Cereal, 15 oz",5.0,49,21
Kashi,"Kashi Heart To Heart Oak Flakes & Wild Blueberry Clusters Cereal, 13.4 oz",3.875,59,8
Kellogg's Special K,"Kellogg's Special K Cinnamon Pecan Cereal, 12.1 oz",4.819,60,94
Cheerios,"Cheerios Protein Cinnamon Almond Cereal, 14.1 oz",4.636,64,22
Cheerios,"Cheerios Fruity Cereal, 12 oz",4.448,69,29
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 10.5 oz",4.709,70,117
Post,"Great Grains Cranberry Almond Crunch Cereal, 14 oz",4.714,72,21
Kellogg's Special K,"Kellogg's Special K Vanilla Almond Cereal, 16.3 oz",4.963,73,27
Post,"Post Shredded Wheat Wheat 'N Bran Spoon Size Cereal, 18 oz",4.861,76,36
Kellogg's,"Kellogg's Special K Cranberry Almond Hot Cereal, 1.83 oz, 2 count",4.6,78,5
Post,"Post Selects Great Grains Crunchy Pecans Cereal, 16 oz",4.857,80,14
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 26.8 oz",4.709,81,117
Kashi,"Kashi GoLean Crunch! Cereal, 21.3 oz",0,89,0
Post,"Raisin Bran Cereal, 25 oz",4.8,91,25
Post,"Post Selects Banana Nut Crunch Cereal, 15.5 oz",4.476,92,21
Honey Nut Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 21.6 oz",4.839,97,186
Kellogg's,"Kellogg's Rice Krispies Cereal, 18 oz",4.906,101,32
Cheerios,"Frosted Cheerios Gluten Free Cereal, 12 oz",4.818,105,11
Kashi,"Kashi Autumn Wheat Cereal, 16.3 oz",4.0,115,8
Kashi,"Kashi Island Vanilla Cereal, 16.3 oz",4.909,116,11
Kellogg's Special K,"Kellogg's Special K Red Berries Cereal, 14.7 oz",4.647,121,86
Kashi Golean,"Kashi GoLean Cereal, 13.1 oz",4.875,122,16
Kellogg's,"Kellogg's Marvel Avengers Age of Ultron Cereal, 8.4 oz",3.0,123,1
Kellogg's,"Kellogg's Cinnabon Cereal, 9 oz",4.955,129,22
Kellogg's,"Kellogg's Crispix Cereal, 12 oz",4.783,130,24
Kellogg's Special K,"Kellogg's Special K Protein Cereal, 12.5 oz",4.759,132,112
Post,"Post Golden Crisp Cereal, 14.75 oz",5.0,135,6
Cheerios,"Honey Nut Cheerios Medley Crunch Cereal, 22.5 oz",4.375,138,40
Cheerios,"Cheerios Gluten Free Cereal, 12 oz",4.75,141,40
Post,"Post Shredded Wheat Honey Nut Spoon Size Cereal, 20 oz",5.0,142,11
Kellogg's Special K,"Kellogg's Special K Fruit & Yogurt Cereal, 16.6 oz",4.846,147,13
Post,"Honey Bunches Of Oats Cereal With Almonds, 18 oz",4.8,148,15
Post,"Honey Bunches Of Oats Honey Roasted Cereal, 18 oz",5.0,149,13
Cheerios,"Cheerios Protein Oats ; Honey Cereal, 14.1 oz",4.28,151,25
Kellogg's Special K,"Kellogg's Special K Red Berries Cereal, 11.2 oz",4.806,155,253
Kellogg's,"Kellogg's Corn Pops Cereal, 21.4 oz",4.677,159,31
Post,"Grape-Nuts Flakes Cereal, 18 oz",4.696,161,23
Kellogg's,"Kellogg's Krave Double Chocolate Cereal, 11 oz",4.615,162,13
Kashi,"Kashi Berry Fruitful Biscuits Cereal, 15.6 oz",4.539,164,13
Cheerios,"Cheerios Chocolate Cereal, 11.25 oz",4.6,167,30
Kashi Golean,"Kashi GoLean Crisp Toasted Berry Crumble Cereal, 14 oz",4.583,168,12
Kellogg's Special K,"Kellogg's Special K Cinnamon Pecan Cereal, 16 oz",4.82,169,50
Post,"Post Cocoa Pebbles Cereal, 20.5 oz",4.143,174,7
Kashi,"Kashi Heart to Heart Honey Toasted Oat Cereal, 12 oz",4.813,176,16
Kellogg's Special K,"Kellogg's Special K Chocolate Almond Cereal, 12.7 oz",4.718,179,103
Cheerios,"Cheerios Protein Oats & Honey Cereal, 19 oz",4.75,189,8
Kashi Golean,"Kashi GoLean Crunch! Cereal, 13.8 oz",4.952,190,21
Cheerios,"Apple Cinnamon Cheerios Gluten Free Cereal, 12.9 oz",4.385,191,13
Post,"Post Shredded Wheat Original Spoon Size Cereal, 16.4 oz",0,192,0
Post,"Post Honey Bunches Of Oats Cereal With Real Strawberries, 13 oz",5.0,193,3
Kellogg's Special K,"Kellogg's Special K Chocolatey Delight Cereal, 13.1 oz",4.758,195,91
Post,"Post Honey Bunches Of Oats Cereal With Almonds, 14.5 oz",5.0,196,15
Post,"Honey Bunches Of Oats Cereal With Cinnamon Bunches, 18 oz",4.444,200,9
Kellogg's Special K,"Kellogg's Special K Oats & Honey Cereal, 16.5 oz",4.643,202,28
Cheerios,"Cheerios Multi Grain Peanut Butter Cereal, 11.3 oz",4.857,208,14
Post,"Post Honey Bunches of Oats Cereal With Vanilla Bunches, 18 oz",4.875,214,8
Kashi,"Kashi 7 Whole Grain Nuggets Cereal, 20 oz (Pack of 12)",5.0,218,1
Cheerios,"Multi Grain Cheerios Gluten Free Cereal, 9 oz",4.833,219,18
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 15 oz",4.709,220,117
Kellogg's,"Kellogg's Special K Touch of Honey Granola Cereal, 11.3 oz",4.412,221,17
Post,"Post Honey-Comb Cereal, 12.5 oz",4.778,222,9
Post,"Post Fruity Pebbles Cereal, 11 oz",5.0,224,7
Kellogg's,"Kellogg's Frosted Krispies Toasted Rice Cereal, 12.5 Oz",4.604,226,48
Kellogg's,"Kellogg's Honey Smacks Cereal, 15.3 oz",4.357,229,14
Post,"Honey Bunches of Oats Honey Roasted Cereal, 14.5 oz",5.0,232,6
Kashi,"Kashi Organic Promise Sweet Potato Sunshine Cereal, 10.5 oz",5.0,234,2
Kellogg's,"Kellogg's Rocky Mountain Chocolate Factory Chocolatey Almond Cereal, 11.5 oz",4.563,237,16
Cheerios,"Cheerios Gluten Free Cereal, 8.9 oz",4.733,247,45
Cheerios,"Honey Nut Cheerios Medley Crunch Cereal, 13.1 oz",4.375,248,40
Kellogg's Special K,"Kellogg's Special K Fruit & Yogurt Cereal, 12.5 oz",4.775,249,80
Post,"Cocoa Pebbles Cereal, 11 oz",5.0,251,2
Kashi,"Kashi Organic Promise Sprouted Grains Cereal, 9.5 oz",5.0,253,1
Kellogg's,"Kellogg's Corn Flakes Cereal, 18 oz",4.674,254,46
Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 17 oz",4.826,257,207
Kellogg's,"Kellogg's Froot Loops Marshmallow Sweetened Multi-Grain Cereal, 12.6 Oz",5.0,258,3
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Chocolate Cereal, 14.7 oz",4.75,261,4
Kellogg's Special K,"Kellogg's Special K Vanilla Almond Cereal, 12.4 oz",4.872,266,86
Kellogg's,"Kellogg's Rice Krispies Cereal, 12 oz",4.867,269,60
Kellogg's,"Kellogg's Special K Chocolatey Strawberry Cereal, 14.5 oz",4.712,271,73
Kellogg's,"Kellogg's Apple Jacks Cereal, 12.2 oz",4.654,286,52
Kellogg's,"Kellogg's Raisin Bran Cereal, 14.3 oz",4.667,287,9
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 19 oz",4.694,288,117
Kellogg's,"Kellogg's Apple Jacks Cereal, 17 oz",4.654,294,52
Kellogg's,"Kellogg's Assorted Cereal Fun Pack, 8 ct",4.909,295,11
Kellogg's Froot Loops,"Kellogg's Froot Loops Bloopers Cereal, 9.3 oz",4.857,296,7
Cheerios,"Cheerios + Ancient Grains Cereal, 11.6 oz",4.421,312,38
Kellogg's Corn Pops,"Kellogg's Corn Pops Cereal, 12.5 oz",4.677,314,31
Kellogg's,"Kellogg's Good Food To Go! Frosted Flakes Cereal Cups, 6ct",5.0,323,3
Kellogg's Corn Pops,"Kellogg's Corn Pops Cereal, 17.2 oz",4.677,331,31
Kellogg's,"Breakfast Cereal, Raisin Bran Crunch, Single-Serve 2.8oz Cup, 6/Box",5.0,341,1
Kellogg's,"Kellogg's Special K Apple Cinnamon Crunch Cereal, 12.4 oz",4.0,351,1
Kellogg's,"Kellogg's Krave Chocolate Cereal, 11.4 oz",4.667,376,9
Kellogg's,"Kellogg's Assorted Cereal Variety Pack, 10 count, 9.63 oz",0,382,0
Kellogg's,"Kellogg's Cocoa Krispies Cereal, 20.5 oz",4.667,390,3
Kellogg's,"Kellogg's Good Food To Go! Froot Loops Cereal Cups, 6ct",0,398,0
Cheerios,"Multi Grain Cheerios Gluten Free Cereal, 12 oz",5.0,403,10
Kellogg's,"Kellogg's Good Food To Go! Frosted Mini Wheats Cereal Cups, 6ct",1.0,404,1
Kellogg's,"Kellogg's Frosted Mini-Wheats Pumpkin Spice Cereal, 15.5 oz",0,411,0
Kellogg's,"Kellogg's Froot Loops Fruity Golden Bars Sweetened Multi-Grain Cereal, 12.2 oz",4.778,412,63
Kashi,"Kashi 7 Whole Grain Puffs Cereal, 6.5 oz, (Pack of 10)",0,416,0
Kellogg's,"Kellogg's Smart Start Antioxidants Original Cereal, 17.5 Oz",4.818,419,11
Kashi,"Kashi Golean Crunch Cereal Cup, 2.3 oz (Pack of 12)",0,420,0
Kellogg's Origins,"Kellogg's Origins Ancient Grains Blend Cereal, 11.8 oz",0,431,0
Honey Nut Cheerios,"Honey Nut Cheerios Cereal, 17 oz, 2 ct",0,432,0
Kellogg's Origins,"Kellogg's Origins Fruit & Seed Muesli Raisin Apricot Cranberry with Pumpkin Seeds Cereal, 14.1 oz",0,433,0
Kellogg's,"Kellogg's Frosted Flakes with Energy Clusters Cereal, 12.1 oz",0,435,0
Kellogg's,"Kellogg's Frosted Mini-Wheats Maple Brown Sugar Cereal, 15.5 oz",4.0,437,4
Kellogg's Origins,"Kellogg's Origins Ancient Grains Granola Cranberry Almond with Pumpkin Seeds Cereal, 12.5 oz",0,438,0
Kellogg's�������� All-Bran,"Kellogg's All-Bran Original Cereal, 18.3 oz, (Pack of 12)",5.0,451,1
Kellogg's Origins,"Kellogg's Origins Ancient Grains Granola Raisin Apple Cereal, 12.5 oz",0,453,0
Kellogg's Origins,"Kellogg's Origins Fruit & Nut Blend Cranberry Walnut Cereal, 12.9 oz",0,455,0
Kellogg's,"Kellogg's Special K Cranberry Granola Cereal, 10.6 oz",0,473,0
Kashi,"Kashi Autumn Wheat Cereal, 16.3 oz, (Pack of 12)",0,480,0
Kellogg's,"Kellogg's Froot Loops Cereal, 8.7 oz",0,492,0
Kellogg's�������� Raisin Bran,"Kellogg's Raisin Bran  Cereal, 18.7 oz, (Pack of 12)",0,494,0
Kashi,"Kashi 7 Whole Grain Honey Puffs Cereal, 9.3 oz",0,498,0
Kellogg's�������� Raisin Bran,"Kellogg's Raisin Bran  Crunch Cereal, 18.2 oz, (Pack of 12)",0,504,0
Kellogg's,"Kellogg's Corn Pops Cereal, 9.2 oz",0,507,0
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 15 oz, (Pack of 16",0,513,0
Kellogg's,"Kellogg's Toasted Cereal, 12 Oz",0,522,0
Kellogg's�������� Apple Jacks,"Kellogg's Apple Jacks Cereal, 12.2 oz, (Pack of 16)",0,550,0
Kellogg's�������� Special K,"Kellogg's Special K  Red Berries Cereal, 11.2 oz, (Pack of 14)",0,553,0
Kellogg's,"Kellogg's Apple Jacks Cereal, 8.7 oz",2.0,569,1
Kellogg's Poptarts,"Kellogg's Corn Pops Cereal, 12.5 oz, (Pack of 16)",0,591,0
Kellogg's,"Kellogg's Vanilla Cappuccino Protein Breakfast Shake, 10 fl oz, 4-pack",4.241,622,340
Honey Nut Cheerios,"Honey Nut Cheerios Milk N' Cereal Bars, 8.5 oz",4.556,724,18
Kashi,"Kashi Golean Hearty Vanilla Instant Oatmeal, 11.28 oz (Pack of 6)",4.5,751,2
Kashi,"Kashi 7 Whole Grain Honey Puffs, 9.3 oz, (Pack of 10)",0,758,0
Kellogg's,"Kellogg's Pop-Tarts Frosted Blue Raspberry Toaster Pastries, 8 count",2.0,760,1
Kashi,"Kashi 7 Whole Grain Pilaf, 6.5 oz, 3ct  (Pack of 12)",5.0,762,2
Kashi,"Kashi Golden Maple Brown Instant Oatmeal, 1.5 oz, 8ct  (Pack of 6)",0,769,0
Kashi,"Kashi Organic Promise Cocoa Coconut with Kamut Khorasan Wheat Granola, 11 oz",0,773,0
Kashi,"Kashi Heart To Heart Golden Brown Maple Instant Oatmeal, 12.1 oz",0,774,0
Kashi,"Kashi Organic Promise Cranberry, Spelt and Flax Granola, 11 oz",0,814,0
 , , , , 
Search Term: Cold Cereal, , , , 
Brand,Cereal Name,Rating,Search Ranking,Num of Reviews
Kellogg's,"Kellogg's Apple Jacks Cereal, 21.7 oz",4.654,3,52
Cheerios,"Cheerios Gluten Free Cereal, 18 oz",4.839,4,186
Kellogg's,"Kellogg's Rice Krispies Cereal, 24 oz",4.867,5,60
Kellogg's,"Kellogg's Froot Loops Cereal, 21.7 oz",4.778,6,63
Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 26.6 oz",4.826,7,207
Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 12.25 oz",4.826,9,207
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 33 oz",4.709,12,117
Post,"Post Shredded Wheat Original Cereal, 15 oz",5.0,13,21
Kellogg's Special K,"Kellogg's Special K Chocolatey Delight Cereal, 16.5 oz",4.884,16,46
Kellogg's,"Kellogg's Corn Flakes Cereal, 24 oz",4.674,22,46
Post,"Post Shredded Wheat Wheat 'N Bran Spoon Size Cereal, 18 oz",4.861,26,36
Post,"Raisin Bran Cereal, 25 oz",4.8,28,25
Cheerios,"Cheerios Protein Cinnamon Almond Cereal, 14.1 oz",4.636,30,22
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 10.5 oz",4.709,31,117
Post,"Post Selects Great Grains Raisins Dates & Pecans Cereal, 16 oz",4.936,32,47
Post,"Post Honey-Comb Cereal, 16 oz",5.0,34,12
Cheerios,"Multi Grain Cheerios Gluten Free Cereal, 18 oz",4.813,36,16
Kellogg's Special K,"Kellogg's Special K Oats & Honey Cereal, 13.1 oz",4.789,38,52
Honey Nut Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 21.6 oz",4.839,39,186
Kashi,"Kashi GoLean Crunch! Cereal, 21.3 oz",0,40,0
Kashi,"Kashi Heart To Heart Oak Flakes & Wild Blueberry Clusters Cereal, 13.4 oz",3.875,42,8
Cheerios,"Cheerios Fruity Cereal, 12 oz",4.448,47,29
Kellogg's,"Kellogg's Crispix Cereal, 12 oz",4.783,48,24
Kellogg's Special K,"Kellogg's Special K Cinnamon Pecan Cereal, 12.1 oz",4.819,49,94
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 26.8 oz",4.709,53,117
Kellogg's Froot Loops,"Kellogg's Froot Loops Cereal, 26 oz",4.778,57,63
Cheerios,"Frosted Cheerios Gluten Free Cereal, 12 oz",4.818,64,11
Kellogg's,"Kellogg's Cinnabon Cereal, 9 oz",4.955,67,22
Kellogg's Crunchy Nut,"Kellogg's Crunchy Nut Golden Honey Nut Flakes Cereal, 13.2 oz",4.844,71,32
Kellogg's Special K,"Kellogg's Special K Protein Cereal, 12.5 oz",4.759,84,112
Post,"Post Fruity Pebbles Cereal, 20.5 oz",4.318,85,22
Kellogg's Special K,"Kellogg's Special K Cinnamon Pecan Cereal, 16 oz",4.82,89,50
Kellogg's Special K,"Kellogg's Special K Vanilla Almond Cereal, 16.3 oz",4.963,90,27
Kellogg's Special K,"Kellogg's Special K Fruit & Yogurt Cereal, 16.6 oz",4.846,93,13
Kellogg's Special K,"Kellogg's Special K Red Berries Cereal, 11.2 oz",4.806,95,253
Kellogg's,"Kellogg's Krave Double Chocolate Cereal, 11 oz",4.615,107,13
Kashi,"Kashi Autumn Wheat Cereal, 16.3 oz",4.0,109,8
Kellogg's Special K,"Kellogg's Special K Red Berries Cereal, 14.7 oz",4.647,112,86
Kashi Golean,"Kashi GoLean Cereal, 13.1 oz",4.875,113,16
Kashi,"Kashi Organic Promise Sweet Potato Sunshine Cereal, 10.5 oz",5.0,119,2
Kashi,"Kashi Heart to Heart Honey Toasted Oat Cereal, 12 oz",4.813,121,16
Kashi,"Kashi Island Vanilla Cereal, 16.3 oz",4.909,124,11
Kashi Golean,"Kashi GoLean Crisp Toasted Berry Crumble Cereal, 14 oz",4.583,125,12
Kellogg's Special K,"Kellogg's Special K Chocolate Almond Cereal, 12.7 oz",4.718,130,103
Kellogg's,"Kellogg's Marvel Avengers Age of Ultron Cereal, 8.4 oz",3.0,131,1
Kashi Golean,"Kashi GoLean Crunch! Cereal, 13.8 oz",4.952,135,21
Kellogg's Special K,"Kellogg's Special K Chocolatey Delight Cereal, 13.1 oz",4.758,138,91
Kashi,"Kashi Organic Promise Sprouted Grains Cereal, 9.5 oz",5.0,140,1
Kellogg's Special K,"Kellogg's Special K Oats & Honey Cereal, 16.5 oz",4.643,145,28
Kellogg's,"Kellogg's Corn Pops Cereal, 21.4 oz",4.677,152,31
Kellogg's,"Kellogg's Cracklin Oat Bran Cereal, 17 Oz",4.737,156,19
Cheerios,"Cheerios Gluten Free Cereal, 12 oz",4.75,160,40
Post,"Great Grains Cranberry Almond Crunch Cereal, 14 oz",4.714,165,21
Cheerios,"Honey Nut Cheerios Medley Crunch Cereal, 22.5 oz",4.375,166,40
Post,"Post Shredded Wheat Honey Nut Spoon Size Cereal, 20 oz",5.0,167,11
Kellogg's,"Kellogg's Special K Apple Cinnamon Crunch Cereal, 12.4 oz",4.0,169,1
Cheerios,"Cheerios Protein Oats ; Honey Cereal, 14.1 oz",4.28,172,25
Cheerios,"Cheerios Chocolate Cereal, 11.25 oz",4.6,180,30
Kashi,"Kashi Berry Fruitful Biscuits Cereal, 15.6 oz",4.539,181,13
Post,"Post Cocoa Pebbles Cereal, 20.5 oz",4.143,184,7
Kellogg's,"Kellogg's Assorted Cereal Variety Pack, 10 count, 9.63 oz",0,185,0
Cheerios,"Cheerios Protein Oats & Honey Cereal, 19 oz",4.75,192,8
Post,"Post Shredded Wheat Original Spoon Size Cereal, 16.4 oz",0,194,0
Post,"Post Honey Bunches Of Oats Cereal With Real Strawberries, 13 oz",5.0,196,3
Post,"Post Honey Bunches Of Oats Cereal With Almonds, 14.5 oz",5.0,197,15
Cheerios,"Cheerios Multi Grain Peanut Butter Cereal, 11.3 oz",4.857,205,14
Post,"Post Honey Bunches of Oats Cereal With Vanilla Bunches, 18 oz",4.875,211,8
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 15 oz",4.709,213,117
Kellogg's,"Kellogg's Special K Touch of Honey Granola Cereal, 11.3 oz",4.412,215,17
Kashi,"Kashi 7 Whole Grain Nuggets Cereal, 20 oz (Pack of 12)",5.0,216,1
Cheerios,"Apple Cinnamon Cheerios Gluten Free Cereal, 12.9 oz",4.385,218,13
Post,"Post Honey-Comb Cereal, 12.5 oz",4.778,219,9
Post,"Post Fruity Pebbles Cereal, 11 oz",5.0,221,7
Post,"Honey Bunches of Oats Honey Roasted Cereal, 14.5 oz",5.0,226,6
Kellogg's,"Kellogg's Rocky Mountain Chocolate Factory Chocolatey Almond Cereal, 11.5 oz",4.563,229,16
Cheerios,"Honey Nut Cheerios Medley Crunch Cereal, 13.1 oz",4.375,236,40
Kellogg's Special K,"Kellogg's Special K Fruit & Yogurt Cereal, 12.5 oz",4.775,239,80
Cheerios,"Cheerios Gluten Free Cereal, 8.9 oz",4.733,240,45
Post,"Cocoa Pebbles Cereal, 11 oz",5.0,242,2
Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 17 oz",4.826,243,207
Cheerios,"Multi Grain Cheerios Gluten Free Cereal, 9 oz",4.833,244,18
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Chocolate Cereal, 14.7 oz",4.75,247,4
Kellogg's Froot Loops,"Kellogg's Froot Loops Bloopers Cereal, 9.3 oz",4.857,249,7
Kellogg's Special K,"Kellogg's Special K Vanilla Almond Cereal, 12.4 oz",4.872,250,86
Kellogg's,"Kellogg's Special K Chocolatey Strawberry Cereal, 14.5 oz",4.712,255,73
Kellogg's,"Kellogg's Assorted Cereal Fun Pack, 8 ct",4.909,262,11
Kellogg's,"Kellogg's Honey Smacks Cereal, 15.3 oz",4.357,263,14
Kellogg's,"Kellogg's Raisin Bran Cereal, 14.3 oz",4.667,270,9
Kellogg's,"Kellogg's Frosted Mini-Wheats Pumpkin Spice Cereal, 15.5 oz",0,275,0
Kellogg's,"Kellogg's Cocoa Krispies Cereal, 20.5 oz",4.667,280,3
Cheerios,"Cheerios + Ancient Grains Cereal, 11.6 oz",4.421,281,38
Kellogg's Origins,"Kellogg's Origins Ancient Grains Blend Cereal, 11.8 oz",0,291,0
Kellogg's,"Kellogg's Frosted Flakes with Energy Clusters Cereal, 12.1 oz",0,297,0
Kellogg's Corn Pops,"Kellogg's Corn Pops Cereal, 17.2 oz",4.677,298,31
Kellogg's Origins,"Kellogg's Origins Ancient Grains Granola Cranberry Almond with Pumpkin Seeds Cereal, 12.5 oz",0,299,0
Kellogg's Origins,"Kellogg's Origins Fruit & Seed Muesli Raisin Apricot Cranberry with Pumpkin Seeds Cereal, 14.1 oz",0,300,0
Kellogg's,"Breakfast Cereal, Raisin Bran Crunch, Single-Serve 2.8oz Cup, 6/Box",5.0,304,1
Kellogg's Origins,"Kellogg's Origins Ancient Grains Granola Raisin Apple Cereal, 12.5 oz",0,309,0
Kellogg's,"Kellogg's Apple Jacks Cereal, 12.2 oz",4.654,312,52
Kellogg's,"Kellogg's Apple Jacks Cereal, 17 oz",4.654,315,52
Kellogg's,"Kellogg's Krave Chocolate Cereal, 11.4 oz",4.667,325,9
Kellogg's Origins,"Kellogg's Origins Fruit & Nut Blend Cranberry Walnut Cereal, 12.9 oz",0,334,0
Kellogg's�������� All-Bran,"Kellogg's All-Bran Original Cereal, 18.3 oz, (Pack of 12)",5.0,336,1
Kellogg's Corn Pops,"Kellogg's Corn Pops Cereal, 12.5 oz",4.677,339,31
Kellogg's,"Kellogg's Special K Cranberry Granola Cereal, 10.6 oz",0,349,0
Kellogg's,"Kellogg's Good Food To Go! Frosted Mini Wheats Cereal Cups, 6ct",1.0,350,1
Kellogg's,"Kellogg's Frosted Mini-Wheats Maple Brown Sugar Cereal, 15.5 oz",4.0,351,4
Cheerios,"Multi Grain Cheerios Gluten Free Cereal, 12 oz",5.0,352,10
Kashi,"Kashi 7 Whole Grain Puffs Cereal, 6.5 oz, (Pack of 10)",0,358,0
Kashi,"Kashi Golean Crunch Cereal Cup, 2.3 oz (Pack of 12)",0,362,0
Kellogg's�������� Raisin Bran,"Kellogg's Raisin Bran  Cereal, 18.7 oz, (Pack of 12)",0,367,0
Honey Nut Cheerios,"Honey Nut Cheerios Cereal, 17 oz, 2 ct",0,371,0
Kellogg's�������� Raisin Bran,"Kellogg's Raisin Bran  Crunch Cereal, 18.2 oz, (Pack of 12)",0,373,0
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 15 oz, (Pack of 16",0,377,0
Kellogg's�������� Apple Jacks,"Kellogg's Apple Jacks Cereal, 12.2 oz, (Pack of 16)",0,384,0
Kellogg's�������� Special K,"Kellogg's Special K  Red Berries Cereal, 11.2 oz, (Pack of 14)",0,388,0
Kellogg's,"Kellogg's Froot Loops Fruity Golden Bars Sweetened Multi-Grain Cereal, 12.2 oz",4.778,391,63
Kellogg's,"Kellogg's Froot Loops Cereal, 8.7 oz",0,393,0
Kashi,"Kashi 7 Whole Grain Honey Puffs Cereal, 9.3 oz",0,397,0
Kashi,"Kashi Autumn Wheat Cereal, 16.3 oz, (Pack of 12)",0,399,0
Kellogg's Poptarts,"Kellogg's Corn Pops Cereal, 12.5 oz, (Pack of 16)",0,403,0
Kellogg's,"Kellogg's Apple Jacks Cereal, 8.7 oz",2.0,442,1
Kellogg's,"Kellogg's Pop-Tarts Frosted Blue Raspberry Toaster Pastries, 8 count",2.0,494,1
Kashi,"Kashi Organic Promise Cocoa Coconut with Kamut Khorasan Wheat Granola, 11 oz",0,496,0
Kashi,"Kashi Organic Promise Cranberry, Spelt and Flax Granola, 11 oz",0,503,0
Kashi,"Kashi 7 Whole Grain Honey Puffs, 9.3 oz, (Pack of 10)",0,511,0
 , , , , 
Brand,Num of Searches: Cereal,Top 3: Cereal,Num of Searches: Cold Cereal,Top 3: Cold Cereal
Cheerios,23,1,22,0
Kashi,23,0,19,0
Kellogg's,81,1,68,1
Post,24,0,17,0
"Total num of searches, cereal:",975,"Total num of searches, cold cereal:",675, 
